List_1,List_2
Настройка биоса,
Активация ОС,
Скачивание всех обновлений,
Скачивание языкового пакета,
Установка по умолчанию EN,
Отключение уведомлений ОС,
Установка AdobeReader/Java,
"Настройка IE (стартовая страница, ActiveX, надежные сайты)",
"Настройка компонентов Windows (Telnet, Framework, XPS)",
Выключение Брандмауэра,
Настройка электропитания / отключение выключения сетевого порта,
Отключение обновлений ОС,
"Настройка реестра (Power-0, Start-4)",
Откючение отпимизации системного диска,
Очистка системного диска,
Настройка файла подкачки и защиты системы,
Переименование сервера,
Установка фирменного изображеия на рабочий стол / экран блокировки,
"Настройка меню пуск(отключить пункт ""недавно добавленные"")",
"Установка дополнительных программ (RAID, SuperDoctor, Evidence Starter)",
